date,BYR,USD,EUR,KZT,UAH
2012-03,0.0035967,29.0253,39.1029,0.196475,3.63066
2012-04,0.0036342,29.3282,39.1707,0.198371,3.65165
2012-05,0.0036475,29.3627,38.9203,0.198712,3.65476
2012-06,0.0039422,32.9173,40.8076,0.222347,4.07367
2012-07,0.0039349,32.8169,41.323,0.219621,4.06225
2012-08,0.0039037,32.2058,39.5101,0.21467,3.97735
2012-09,0.0038724,32.5669,40.7249,0.21762,4.01095
2012-10,0.0036631,30.9169,39.9786,0.205982,3.79442
2012-11,0.0036781,31.3743,40.6548,0.208052,3.83643
2012-12,0.003591,30.811,40.0759,0.204697,3.76212
2013-01,0.0035338,30.3727,40.2286,0.202107,3.759
2013-02,0.0034781,30.0161,40.7138,0.19898,3.69429
2013-03,0.0035418,30.5124,40.1024,0.202936,3.74477
2013-04,0.003581,31.0834,39.8023,0.206,3.81626
2013-05,0.0035971,31.0433,40.6264,0.205313,3.82189
2013-06,0.0036591,31.7979,41.4486,0.209922,3.90446
2013-07,0.0037212,32.709,42.718,0.215673,4.01067
2013-08,0.0037137,33.033,43.7786,0.215164,4.0676
2013-09,0.003688,33.2474,44.0129,0.216899,4.09325
2013-10,0.0035677,32.4839,43.8143,0.211209,3.9658
2013-11,0.0034658,32.0758,43.9406,0.208014,3.91765
2013-12,0.0035499,33.1916,45.187,0.215663,4.0443
2014-01,0.0034233,32.6587,45.0559,0.21176,3.96343
2014-02,0.0036418,35.18,47.6408,0.226231,4.1856
2014-03,0.0036942,36.1847,49.5839,0.196347,3.38175
2014-04,0.0036001,35.6053,48.968,0.195537,3.16492
2014-05,0.0035758,35.7227,49.3188,0.196219,3.11989
2014-06,0.0034459,34.7352,47.2677,0.189303,2.94366
2014-07,0.003318,33.8434,46.1827,0.184418,2.88029
2014-08,0.0034345,35.4438,47.4699,0.19364,2.89692
2014-09,0.0035409,36.9316,48.6315,0.20291,2.73567
2014-10,0.0037119,39.3836,49.9817,0.216471,3.0412
2014-11,0.0039108,41.9627,52.7219,0.232011,3.22728
2014-12,0.0045333,49.322,61.4108,0.272542,3.2831
2015-01,0.0038785,56.2376,68.3681,0.308143,3.55525
2015-02,0.00441,68.9291,78.1105,0.373711,4.32993
2015-03,0.0040985,61.2718,68.6857,0.330663,2.07701
2015-04,0.0039218,57.65,62.0487,0.310447,2.45842
2015-05,0.0035837,51.1388,57.1578,0.275236,2.40653
2015-06,0.0035611,52.9716,58.0145,0.284855,2.5105
2015-07,0.0036581,55.8413,62.3803,0.299883,2.65911
2015-08,0.0039649,60.3458,66.0002,0.321947,2.85323
2015-09,0.0038386,66.7152,74.8478,0.27856,3.06737
2015-10,0.0037192,65.7364,73.776,0.242588,3.08549
2015-11,0.0036901,64.3742,70.7537,0.229859,2.79281
2015-12,0.0036957,66.737,70.6478,0.216996,2.80998
2016-01,0.0039042,72.9299,79.6395,0.213821,3.0352
2016-02,0.0036097,75.1723,81.9077,0.206961,2.95954
2016-03,0.0035319,75.8994,83.1023,0.21701,2.80072
2016-04,0.0033683,67.8552,76.9207,0.197414,2.58496
2016-05,0.0033472,64.3334,73.3015,0.196618,2.55291
2016-06,0.0033348,65.9962,73.4406,0.19654,2.62358
2016-07,,64.1755,71.2926,0.189448,2.5846
2016-08,,67.0512,74.3799,0.190273,2.70368
2016-09,,65.2535,72.6859,0.191699,2.50013
2016-10,,63.396,70.9338,0.188946,2.44348
2016-11,,63.2174,69.2863,0.188664,2.47911
2016-12,,65.2382,69.3417,0.19092,2.54837
2017-01,,60.6569,63.8111,0.181637,2.23826
2017-02,,60.0851,64.285,0.185743,2.21634
2017-03,,57.9627,61.3883,0.185377,2.13333
2017-04,,55.9606,59.8107,0.178432,2.0707
2017-05,,56.9838,62.044,0.181226,2.14669
2017-06,,56.6876,63.4107,0.181531,2.15481
2017-07,,59.3862,67.8072,0.183719,2.28058
2017-08,,60.0633,70.4603,0.182184,2.32308
2017-09,,58.5454,69.6222,0.173291,2.2767
2017-10,,58.0169,68.4483,0.170075,2.1815
2017-11,,58.1179,67.6434,0.173639,2.16373
2017-12,,58.5814,69.5185,0.176847,2.1565
2018-01,,57.6002,68.8668,0.173184,2.04955
2018-02,,56.184,69.9322,0.17416,2.0181
2018-03,,56.3742,68.9062,0.175963,2.10351
2018-04,,57.2649,70.5618,0.179829,2.17613
2018-05,,61.9997,75.2056,0.189546,2.36369
2018-06,,62.0188,72.5806,0.188281,2.37483
2018-07,,62.7565,72.9921,0.183843,2.38527
2018-08,,62.3497,73.0738,0.179576,2.31999
2018-09,,68.0447,79.4966,0.187126,2.40866
2018-10,,65.5906,76.2294,0.180626,2.32056
2018-11,,65.5962,74.4189,0.177753,2.3348
2018-12,,66.5335,75.7484,0.178169,2.35508
2019-01,,69.4706,79.4605,0.18057,2.50706
2019-02,,65.3577,75.2006,0.171867,2.35499
2019-03,,65.8895,74.9691,0.175738,2.45673
2019-04,,64.7347,72.723,0.170498,2.38008
2019-05,,64.6314,72.3096,0.169558,2.44839
2019-06,,65.3834,72.8436,0.170928,2.4333
2019-07,,63.0756,71.8179,0.165759,2.41161
2019-08,,63.4172,70.7355,0.164966,2.53276
2019-09,,66.4897,73.3847,0.171686,2.64585
2019-10,,64.6407,70.7169,0.166503,2.67497
2019-11,,63.7748,71.1918,0.164083,2.56843
2019-12,,64.0817,70.5475,0.165875,2.67341
2020-01,,61.9057,69.3777,0.161665,2.61205
2020-02,,63.1385,69.5976,0.166537,2.52296
2020-03,,66.9909,73.7235,0.175541,2.7257
2020-04,,77.7325,85.7389,0.174278,2.75213
2020-05,,72.7263,79.1189,0.171298,2.69798
2020-06,,70.752,78.5489,0.171643,2.62872
2020-07,,70.4413,78.9929,0.174099,2.64194
2020-08,,73.4261,87.2889,0.174086,2.65196
2020-09,,73.8039,87.8266,0.175623,2.67537
2020-10,,78.7847,92.4302,0.181995,2.78337
2020-11,,79.3323,92.6284,0.183154,2.78971
2020-12,,76.1999,91.2037,0.179066,2.67321
2021-01,,73.8757,90.7932,0.175252,2.60711
2021-02,,76.2527,92.2963,0.179782,2.7094
2021-03,,74.4373,90.3743,0.178255,2.66296
2021-04,,75.6373,88.7452,0.177801,2.71942
2021-05,,74.8451,90.585,0.174178,2.69783
2021-06,,73.2965,89.3778,0.170912,2.66893
2021-07,,72.7234,86.5118,0.169778,2.67074
2021-08,,73.1388,86.9913,0.171891,2.72718
2021-09,,73.2781,86.666,0.171752,2.72558
2021-10,,72.6642,84.305,0.170653,2.72887
2021-11,,70.52,82.2898,0.16494,2.68152
2021-12,,74.8926,84.8234,0.170443,2.74319
2022-01,,74.2926,84.0695,0.169,2.72584
2022-02,,77.4702,86.5032,0.178379,2.71136
2022-03,,93.5589,104.4772,0.188393,3.10053
2022-04,,83.4097,92.493,0.177349,2.82427
2022-05,,71.0237,74.5589,0.158362,2.34698
2022-06,,61.6069,62.7397,0.144147,2.0778
2022-07,,52.5123,54.6405,0.11291,1.77865
